OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
RESURS-P 4,2024-061A,2026-09-12T23:06:20.956320,15.32570199,.00011294,97.2822,202.3885,128.0328,232.1016,0,U,59371,999,13720,.79274672E-4,.2417E-4,0
LEGION 1,2024-081A,2026-09-12T21:26:53.497536,15.17183476,.00106692,97.4959,332.8159,68.1307,292.1060,0,U,59625,999,13083,.14360467E-3,.2788E-4,0
LEGION 2,2024-081B,2026-09-12T22:11:36.374784,15.17167167,.00121949,97.4960,332.9420,38.4258,321.7841,0,U,59626,999,13084,.12643082E-3,.2446E-4,0
ALOS-4 (DAICHI-4),2024-123A,2026-09-12T22:42:10.408320,14.79469518,.00015012,97.9221,351.8585,99.2849,260.8533,0,U,60182,999,11885,.1365713E-3,.969E-5,0
LEGION 3,2024-146A,2026-09-12T21:52:38.542944,15.16016965,.00083837,45.0010,280.2185,317.5854,42.4376,0,U,60452,999,11533,.12750344E-3,.2228E-4,0
LEGION 4,2024-146B,2026-09-12T18:41:23.834112,15.16035991,.00085835,45.0028,12.7870,86.1286,274.0574,0,U,60453,999,11416,.15844502E-3,.2835E-4,0
SENTINEL-2C,2024-157A,2026-09-12T22:26:03.755616,14.30813110,.00014213,98.5728,329.4479,90.1220,270.0126,0,U,60989,999,10553,.43472885E-4,.7E-6,0
IONOSFERA-M 1,2024-199A,2026-09-12T21:21:17.442144,14.22767959,.00003233,98.7021,128.0794,147.5731,212.5467,0,U,61735,999,14017,.32173574E-4,.28E-6,0
IONOSFERA-M 2,2024-199B,2026-09-12T22:10:23.696832,14.22771205,.00019805,98.7020,128.0230,77.0873,283.0526,0,U,61736,999,14330,.33709583E-4,.32E-6,0
PRSC-EO1,2025-012A,2026-09-12T22:46:17.012064,15.17598607,.00043677,97.4155,326.6532,343.5146,16.5945,0,U,62725,999,9150,.25584039E-3,.5077E-4,0
BIOMASS,2025-090A,2026-09-11T23:18:30.453120,14.66985693,.00012369,98.0764,81.0388,89.5948,270.5398,0,U,63772,999,7341,.12727804E-3,.665E-5,0
GOSAT-GW (IBUKI GW),2025-141A,2026-09-12T22:33:10.302048,14.67552713,.00014122,98.0597,191.8366,84.5522,275.5844,0,U,64694,999,6471,.72210527E-4,.362E-5,0
IONOSFERA-M 3,2025-155A,2026-09-12T22:47:40.602336,14.21498986,.00012741,98.6134,215.6839,19.1543,340.9683,0,U,64876,999,5887,.26795722E-4,.16E-6,0
IONOSFERA-M 4,2025-155B,2026-09-12T21:56:16.217376,14.21501573,.00009038,98.6126,215.5656,47.8365,312.2889,0,U,64877,999,5886,.29401839E-4,.21E-6,0
MICROCARB,2025-156A,2026-09-12T04:15:24.975360,14.72844623,.00174219,98.0106,331.0325,350.9364,9.1527,0,U,64899,999,6077,.60329223E-4,.336E-5,0
CO3D 3,2025-156B,2026-09-12T15:59:12.326496,15.20205419,.0001035,97.4343,333.1018,118.6331,241.5008,0,U,64900,999,6282,.14148926E-3,.2997E-4,0
CO3D 4,2025-156C,2026-09-12T22:18:34.068672,15.20205164,.00017128,97.4343,333.3614,42.0268,318.1099,0,U,64901,999,6286,.13080119E-3,.2765E-4,0
CO3D 2,2025-156D,2026-09-12T12:01:50.414016,15.20204930,.00014655,97.4343,332.8380,103.2772,256.8627,0,U,64902,999,6279,.67595447E-4,.1396E-4,0
CO3D 1,2025-156E,2026-09-12T23:05:32.972352,15.20209425,.00012681,97.4343,333.2924,99.3507,260.7872,0,U,64903,999,6286,.13369518E-3,.2828E-4,0
PRSC-S1,2025-164A,2026-09-12T22:58:49.812672,15.07046123,.00078621,41.1299,153.2571,237.7030,122.3023,0,U,65055,999,6167,.23838827E-3,.3461E-4,0
SENTINEL-6B,2025-264A,2026-09-12T12:44:28.048416,12.80929095,.00078561,66.0425,313.7656,267.8118,92.1998,0,U,66514,999,3835,.11349935E-3,-.35E-6,0
CAS500-3,2025-274F,2026-09-12T16:22:17.327136,14.88319582,.00033327,97.7424,181.7287,324.1441,35.9552,0,U,66655,999,4316,.10235617E-3,.893E-5,0
CSG-3,2026-001A,2026-09-12T18:14:44.217600,14.82153115,.00013658,97.8916,78.1151,87.3358,272.8011,0,U,67304,999,3743,.32143107E-4,.204E-5,0
PRSC-E03,2026-092A,2026-09-12T14:15:31.911840,15.07042486,.00042294,38.0015,294.1039,340.9961,19.0643,0,U,68835,999,2114,.12163034E-3,.1748E-4,0
CAS500-2,2026-100AK,2026-09-12T16:23:19.053888,15.20227206,.00112164,97.3760,151.7505,73.0553,287.1911,0,U,69013,999,2010,.19863523E-3,.4245E-4,0
